Nome Oficial;Nome Fantasia
Ofício de Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas - Tuparecê;Ofício de Registro Civil e Tabelionato de Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil e Notas de Mendes Pimentel
Ofício de Registro Civil Das Pessoas Naturais e de Imóveis;
1º Tabelionato de Notas, Protesto de Títulos e Registro de Tít. e Documentos e Civil de Pessoas Jurídicas      ;
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas;Cartório de 1º Ofício
2º Tabelionato de Notas;
Ofício do Registro de Imóveis;
Ofício de Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
1º Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
1º Tabelionato de Notas e Protesto de Títulos;Tabelionato Gonzaga
2º Tabelionato de Notas e Ofício de Tít. e Documentos e Civil de Pessoas Jurídicas;Cartório José Maria do Rosário
Ofício do Registro de Imóveis;Cartório do Dimas
Ofício do Registro Civil e Tabelionato de Notas;Cartório de Registro Civil e Anexos
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Muquém;Cartório D´Angelis
Ofício de Registro Civil Das Pessoas Naturais;Cartório Ary Andrade
1º Tabelionato de Notas, Protestos, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Lacerda
2º Tabelionato de Notas;Cartório Azevêdo
Ofício do Registro de Imóveis;Cartório Andrade
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório Schettino
1º Tabelionato  de Notas;
2º Tabelionato de Notas;Cartório Nanor Senna da Luz
Oficio de Registro Civil e Tabelionato de Notas - Dores Da Vitória;Cartório Harrison da Costa e Souza
Ofício de Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas; Moeda-Cartório de Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Coco;Cartório do Coco
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Monjolos;Cartório Geraldo Moreira da Costa
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Rodeador;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil e Tabelionato de Notas;Cartório Scalioni
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
Ofício de Registro Civil e Tabelionato de Notas - Pitarana;Cristiane de Souza Leite
Ofício de Registro Civil e Tabelionato de Notas - São Sebastião Dos Poções;
Oficio de Registro Civil e Tabelionato de Notas - Capitânia;
Tabelionato de Protesto de Títulos, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
1º Tabelionato de Notas;Cartório Marias
2º Tabelionato de Notas;
Ofício de Registro Civil Das Pessos Naturais;Serviço Registral das Pessoas Naturais
1º Tabelionato de Notas, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório do 1º Ofício de Notas e Seus Anexos
2º Tabelionato de Notas e Ofício do Registro de Imóveis;Cartório do 2º Ofício e do Registro Geral de Imóveis
Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Monte Azul 
Ofício do Registro de Imóveis e 1º Tabelionato de Notas;
2º Tabelionato de Notas, Protesto de Títulos, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Maria Emma Macedo Vargas
Ofício de Registro Civil e Tabelionato de Notas - Santa Cruz Da Aparecida;Cartório Sebastião Ferreira da Silva 
Ofício do Registro de Imóveis;Cartório de Registro de Imóveis
1º Tabelionato de Notas;1º Tabelionato de Notas 
1º Tabelionato de Protesto de Títulos e Reg. de Tít. e Documentos e Civil Das Pessoas Jurídicas;Cartório do Zezé Moço
2º Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Luiz Carlos Porto Rocha
2º Tabelionato de Notas;Cartório Sérvulo Santos
Ofício do Registro de Imóveis;Cartório Ada Luiza Rodrigues de Moraes
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Serviço Registral de Títulos e Documentos
Tabelionato de Protestos de Titulos;Cartório de Protestos
1º Tabelionato de Notas;Cartório 1º Ofício de Notas Maria Cozac Rocha
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
1º Tabelionato de Notas;Cartório do 1º Ofício de Notas
2º Tabelionato de Notas;Cartório Xavier
Ofício do Registro de Imóveis;Cartório de Registro de Imóveis
Tabelionato de Protestos de Títulos;Cartório Santos
Ofício de Registro Civil e Tabelionato de Notas - Milagre;Cartório Ferracin
Ofício de Registro de Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Serviço de Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;Cartório Canela
2º Tabelionato de Notas;Seviço Notarial e Registral
3º Tabelionato de Notas;Cartório do 3º Ofício de Notas
1º Ofício do Registro de Imóveis;
2º Ofício do Registro de Imóveis;Cartório do 2º Ofício do Registro de Imóveis
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Tabelionato de Protestos de Títulos;Cartório de Protestos - Jorge Antônio dos Santos
Ofício de Registro Civil e Tabelionato de Notas - Ermidinha;Cartório Joaquim Rodrigues da Silva
Ofício de Registro Civil e Tabelionato de Notas - Miralta;Cartório Valter Catarino Lopes Procópio
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Santa Rosa de Lima;Cartório de Registro Civil e Notas de Santa Rosa de Lima
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - São João Da Vereda;Cartório Bento Cardoso dos Santos
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - São Pedro Da Garça;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Vila Nova de Minas;Cartório de Paz e Notas
Ofício de Registro Civil  Das Pessoas Naturais e Tabelionato de Notas - Nova Esperança;
Ofício de Registro Civil Das Pessoas Naturais;Serviço Registral Genovez Martins
1º Tabelionato de Notas;Tabelionato Bernardi
2º Tabelionato de Notas;Tabelionato Cunha Canto
Ofício do Registro de Imóveis;Cartorio do Cid
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Tabelionato de Protesto de Títulos;Tabelionato de Protesto de Monte Sião
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;
Tabelionato de Protesto de Títulos;Tabelionato de Títulos Polcaro Garcia
Ofício de Registro Civil Das Pessoas Naturais - Frei Orlando;Cartório de Reg. Civil do Distrito Frei Orlando
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Paz Notas Registro Civil 
Ofício de Registro Civil e Tabelionato de Notas;Cartório Lage Martins
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil e Tabelionato de Munhoz
Ofício de  Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório de Registro Civil de Muriaé
1º Tabelionato de Notas;Tabelionato Nelson Elizeu
2º Tabelionato de Notas;Cartório Castro Oliveira
3º Tabelionato de Notas;Cartório do 3º Ofício de Notas
Ofício do Registro de Títulos e Documentos e Civil Das Pessoas Jurídicas;Cartório de Registro de Títulos e Doc. e Civil das Pessoas Jurídicas
Tabelionato de Protesto de Títulos;Cartório de Protestos de Muriaé
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Belisário;Cartório Pimentel
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Boa Família;
Ofício do Registro Civil e Tabelionato de Notas - Bom Jesus Da Cachoeira;Cartòrio Neves
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Itamuri;Cartório Lopes
Ofício do Registro Civil e Tabelionato de Notas - Pirapanema;Cartório Pedrosa
Ofício do Registro Civil e Tabelionato de Notas - Vermelho;Cartório Almeida
Ofício do Registro de Imóveis;Cartório Pacheco
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório de Registro Civil das Pessoas Naturais, Interdiçõe e Tutelas 
1º Tabelionato de Notas;
2º Tabelionato de Notas e Protesto de Títulos;Cartório Braga
Ofício do Registro de Imóveis;Cartório Registro de Imóveis
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Ocidente;Cartório de Ocidente
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Roseiral;
Ofício de Registro Civil e Tabelionato de Notas - São Francisco de Humaitá;Cartório de Registro Civil e Tabelionato
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Imbiruçu;Cartório Evelin
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas - Centenário;Cartório do Centenário
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Muzambinho
Ofício do Registro de Imóveis;Cartório Joaquim Teixeira Neto
1º Tabelionato de Notas;Cartório Oaci Rondineli
2º Tabelionato de Notas;
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Oaci Rondineli
1º Tabelionato de Protesto de Títulos;Tabelionato de Protestos de Muzambinho
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas;Cartório do 1º Ofício
2º Tabelionato de Notas;Nanuque Cartório do 2º Ofício
Ofício do Registro de Imóveis;Cartório de Registro de Imóveis
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Títulos e Documentos
Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Vila Pereira;
1º Tabelionato de Notas;Cartório do José Paulo
2º Tabelionato de Notas;Cartório da Ana Maria
Ofício do Registro de Imóveis;Cartório da Ana Maria
Ofício de Registro Civil Das Pessoas Naturais;Cartório da Rita
Oficio de Registro de Títulos e Documentos e Civil Das Pessoas Júridicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviços Registrais e Notariais de Naque
Ofício do Registro Civil e Tabelionato de Notas;Nazareno Cartório de Notas
Ofício de Registro Civil Das Pessoas Naturais;Cartório Lima Pimenta
1º Tabelionato de Notas;
2º Tabelionato de Notas e Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Tabelionato Andrade
Ofício do Registro de Imóveis;Cartório do Fernando
Tabelionato de Protesto de Títulos;
1º Tabelionato de Notas;Cartório do 1º Ofício
2º Tabelionato de Notas;
Ofício do Registro de Imóveis;Cartório Juan Oliveira Roque
Ofício de Registro Civil Das Pessoas Naturais e Anexos;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais;Cartório Fonseca
1º Tabelionato de Notas;Cartório Clark
2º Tabelionato de Notas;2º Tabelionato de Notas de Nova Lima
Ofício do Registro de Imóveis;
Tabelionato de Protesto de Titulos;Cartório Aloísio Salles Wardi
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Gustavo Machado de Faria
Ofício do Registro Civil de Pessoas Jurídicas;Cartório Aloísio Sales Wardi
Ofício do Registro Civil e Tabelionato de Notas;Cartório Moreira
1º Tabelionato de Notas;Cartório do 1º Ofício de Notas
2º Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório do 1º Registro Civil das Pessoas Naturais
Ofício do Registro de Imóveis;Serviço de Registro de Imóveis da Comarca de Nova Ponte
1º Tabelionato de Protesto de Títulos;Tabelionato de Protesto de Títulos e Documentos
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório  Salles
1º Tabelionato de Notas;Cartório do 1º Ofìcio de Notas
2º Tabelionato de Notas;
Ofício do Registro de Imóveis;Cartorio de Registro
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Petúnia;Registro Civil das Pessoas Naturais e Notas
1º Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Ulisses Amaral
1º Tabelionato de Notas;
Ofício do Registro de Imóveis;Cartório Guimarães Amaral
Tabelionato de Protesto de Títulos;Cartório de Protesto
Ofício do Registro Civil e Tabelionato de Notas - Boa Vista de Minas;
2º Tabelionato de Notas;Cartório do 2º Tabelionato
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Bertholdi
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;
2º Tabelionato de Notas;
1º Ofício do Registro de Imóveis;
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
1º Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Lufa;Cartório de Paz e Notas de Novo Cruzeiro
Ofício de Registro Civil Das Pessoas Naturais - Novilhona;Cartório José Pio Esteves
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Queixada;Cartório de Paz
Ofício do Registro Civil e Tabelionato de Notas;Cartório Silva Medeiros
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Tabelionato de Notas
Ofício do Registro Civil e Tabelionato de Notas;Cartório Sebastião Pinelli
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais de Oliveira
1º Tabelionato de Notas;Cartório do 1º Ofício de Notas de Oliveira
2º Tabelionato de Notas, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;2º Serviço de Notas, Registro de Tít. e Documentos e Pess. Jurídicas 
Ofício do Registro de Imóveis;Cartório de Registro de Imóveis
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Morro do Ferro;
Tabelionato de Protesto de Títulos;Cartório de Protesto de Títulos
Ofício do Registro Civil e Tabelionato de Notas;Cartório Geraldo Esteves Ruffo
Ofício do Registro Civil e Tabelionato de Notas;
2º Tabelionato de Notas;Cartório Junqueira Campos
1º Tabelionato de Notas e Registro de Imóveis;Cartório Massote
Tabelionato de Protesto de Títulos;Cartório Junqueira Campos
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
Ofício do Registro de Títulos e Documentos;Cartório Junqueira Campos
Ofício do Registro Civil Das Pessoas Jurídicas;Cartório Junqueira Campos
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas;Cartório do 1º Tabelionato de Notas
2º Tabelionato de Notas;Ouro Fino Cartório Escrivania e Notas
Ofício do Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório do Romário
Tabelionato de Protesto de Títulos;
Ofício do Registro Civil e Tabelionato de Notas - Crisólia;Cartório do Luiz Henrique dos Santos
Ofício de Registro Civil Das Pessoas Naturais - 1º Subdistrito;
Ofício de Registro Civil Das Pessoas Naturais - 2º Subdistrito;Cartório Registro Civil Antônio Dias
1º Tabelionato de Notas;Cartório do 1º Ofício de Notas
2º Tabelionato de Notas;Cartório Ribeiro Ferreira
Ofício do Registro de Titulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais  e Tabelionato de Notas - Amarantina;Cartório Registro Civil e Notas de Amarantina
Ofício de Registro Civil e Tabelionato de Notas - Antônio Pereira;Cartório de Registro e Notas de Antônio Pereira
Ofício de Registro Civil e Tabelionato de Notas - Cachoeira do Campo;
Ofício de Registro Civil e Tabelionato de  Notas - Engenheiro Correia;Cartório do Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Glaura;Cartório de Registro Civil
Ofício de Registro Civil e Tabelionato de Notas - Miguel Burnier;
Ofício de Registro Civil Das Pessoas Naturais  e Tabelionato de Notas - Rodrigo Silva;Cartório de Registro Civil das Pessoas Naturais
Ofício de Registro Civil e Tabelionato de Notas - Santa Rita de Ouro Preto;Cartório Registro Civil Pess. Naturais e Tabelionato de Notas
Ofício do Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Santo Antônio do Leite;Cartorio de Registro Civil e Notas  de Santo Antônio do Leite
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - São Bartolomeu;Cartório São Bartolomeu
Ofício do Registro de Imóveis;
Tabelionato de Protesto de Títulos;Cartório Paulo Estevam Tenório Cavalcanti
Ofício do Registro Civil e Tabelionato de Notas;Cartório Álvaro de Freitas Araújo
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil e Notas 
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Manoel Ramiro
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Poções de Paineiras;Cartório de Registro Civil e Notas de Poções de Paineiras
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro Civil e Tabelionato de Notas - Vila Costina;Cartório do Registro Civil
2º Tabelionato de Notas, Protestos e Ofício de Registro de Imóveis;Cartório Jair Parreira
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Vanda Rabelo de Avelar
Ofício de Registro Civil e Tabelionato de Notas;Cartório Rossi Soares
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas, Protestos de Títulos e Registro de Tít. e Doc. e Civil de Pess. Jurídicas;Cartório Edberto Andrade dos Santos
Ofício do Registro de Imóveis;Cartório José Eduardo Andrade Amaral
Ofício de Registro Civil e Tabelionato de Notas - Cisneiros;Cartório de Registro Civil das Pessoas Naturais e Tabelionato de Notas
Ofício de Registro Civil e Tabelionato de Notas - Itapiruçu;Cartório de Paz
2º Tabelionato  de Notas;Cartório Garibalde Pinto Coelho
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Palmópolis Cartório de Paz e Notas
Ofício de Registro Civil e Tabelionato de Notas - Dois de Abril;Cartório Wilton Soares dos Santos
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil e Tabelionato de Notas
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Tabelionato de Notas;Ofício do 1º Tabelionato de Notas
2º Tabelionato de Notas;Ofício do 2º Tabelionato de Notas
Ofício do Registro de Imóveis;Serviço Registral de Imóveis Geraldo Campos
Tabelionato de Protesto de Títulos;Cartório do 1º Tabelionato de Protesto de Títulos
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório de Registro de Títulos e Documentos
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;Ofício do 1º Tabelionato de Notas - Ivan Campolina Leitão
Ofício do Registro de Imóveis;Registro de Imóveis
2º Tabelionato de Notas;Cartório Marinho
Tabelionato de Protesto de Títulos;Cartório de Protesto
Ofício de Registro Civil Das Pessoas Naturais - Carioca;Cartório de Carioca
Ofício de Registro Civil e Tabelionato de Notas - Torneiros;Cartório Antônio Henriques
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Alexandre Mendes Ferreira de Melo
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Tabelionato de Notas;Cartório do 1º Ofício de Notas
2º Tabelionato de Notas, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório do 2º Ofício e de Títulos e Documentos
Ofício do Registro de Imóveis;Serviço Registral Imobiliário de Paraguaçu
Cartório do Registro Civil e Tabelionato;
Tabelionato de Protesto de Títulos;Cartório de Protesto 
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Ofício do Registro de Imóveis;Cartório do Ademar
2º Tabelionato de Notas;Cartório do Moacir
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório do Registro de Títulos e Documentos  
Ofício de Registro Civil e Tabelionato de Notas - Costas;Cartório do Vadico
Tabelionato de Protesto de Títulos;Tabelionato de Protestos de Paraisópolis
1º Tabelionato de Notas;Cartório da Verushka - 1º Ofício Notas
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Tabelionato de Notas;Paraopeba Cartório do 1º Ofício de Notas 
2º Tabelionato de Notas;Cartório Moreira
Ofício do Registro de Imóveis;Cartório Oficiala Rogéria Cristina Nogueira Santos
Tabelionato de Protesto de Títulos;Cartório do Registro de Protestos de Títulos
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Paiva
Ofício do Registro Civil e Tabelionato de Notas;Cartório Clarice Augusta de Sá
Ofício de Registro Civil Das Pessoas Naturais;Cartório Lecy Saulle
1º Tabelionato de Notas;Cartório Maria Eugênia
2º Tabelionato de Notas;Cartório Maria Lúcia
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Patrícia Siqueira
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Pé do Morro;Cartório Mãe Maria
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Pinheirinhos;Serviço Notorial e Registral
Tabelionato de Protesto de Títulos;Cartório de Protesto de Passa Quatro
Ofício do Registro de Imóveis;Cartório Siqueira
Ofício de Registro Civil Das Pessoas Naturais;Cartório Sequeira
1º Tabelionato de Notas;Tabelião Lara
Ofício do Registro de Imóveis;Cartório Maria Madalena Vilhena Araújo
2º Tabelionato de Notas;Cartório do 2º Serviço Notarial
Tabelionato de Protesto de Títulos;Ofício do 1º Tabelionato de Protesto de Títulos
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Serviço Registral de Títulos e Documentos e Civil de Pessoas Jurídicas
Ofício de Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
1º Tabelionato de Notas, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Tabelionato Moraes
2º Tabelionato de Notas;"Cartório do 2º Ofício de Notas Noivinho "
Ofício do Registro de Imóveis;Cartório Elpídio Freire Neto
1º Tabelionato de Protesto de Títulos;Cartório de Protestos de Passos
Ofício de Registro Civil Das Pessoas Naturais  e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório Guimarães Cortes
1º Tabelionato de Notas;
2º Tabelionato de Notas;Cartório Dutra
3º Tabelionato de Notas;Cartório Sebastião Versiani
Ofício do Registro de Imóveis;
Tabelionato de Protesto de Títulos;Cartório de Registro de Protestos
Ofício de Registro Civil e Tabelionato de Notas - Bom Sucesso de Patos;Registro Civil e Tabelionato de Notas de Bom Sucesso de Patos
Ofício de Registro Civil e Tabelionato de Notas - Chumbo;Cartório Chumbo
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Major Porto;Cartório Iara Pâmela Coimbra
Ofício de Registro Civil e Tabelionato de Notas - Pindaíbas;Cartório José Moreira da Mota Filho
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Pilar;Cartório Registro Civil e Notas do Distrito de Pilar
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Santana de Patos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Tabelionato de Notas;Cartório Andrade
2º Tabelionato de Notas;Cartório 2º Ofício de Notas 
Ofício do Registro de Imóveis;
Ofício do Registro Civil e Tabelionato de Notas - São João Da Serra Negra;Cartório de Paz e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Silvano;Cartório de Registro Civil e Tabelionato de Notas João Henrique de Castro
Tabelionato de Protesto de Títulos;Cartório de Protesto
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório de Registro de Títulos e Documentos
Ofício do Registro Civil e Tabelionato de Notas;Serventia Cardilo Lima
Ofício do Registro Civil e Tabelionato de Notas;Cartório Portugal
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Nilo Pinto de Carvalho
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Paola Ramalho
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
1º Tabelionato de Notas e Ofício de Registro de Títulos e Doc. e Civil de Pessoas Jurídicas;Cartório Américo F. França
2º Tabelionato de Notas;Cartório Sady Braga
Ofício do Registro de Imóveis;Cartório J.M. Freitas
Ofício de Registro Civil e Tabelionato de Notas - Santa Teresa do Bonito;Cartório de Registro Civil e Notas
Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Vitória Irlanda Migliardi
2º Tabelionato de Notas;Cartório Santos
Tabelionato de Protesto de Títulos;Cartório de Protesto
Ofício do Registro de Imóveis;Cartório Oficial do Registro de Imóveis
1º Tabelionato de Notas;Cartório Augusto Alves Rodrigues
Ofício do Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório de Títulos e Documentos e Pessoas Jurídicas
Ofício de Registro Civil e Tabelionato de Notas;
Ofício do Registro Civil e Tabelionato de Notas;
Ofício do Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;
2º Tabelionato de Notas, Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Rodrigues
Ofício do Registro de Imóveis e Protesto de Títulos;Cartório do Márcio
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil das Pessoas Naturais e Notas
Ofício de Registro Civil e Tabelionato de Notas - São Pedro Das Tabocas;Cartório São Pedro
Ofício do Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Toledo
Ofício do Registro de Imóveis;
1º Tabelionato de Notas;Cartório Marques e Souza
2º Tabelionato de Notas e Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório Ary Bahia
Ofício de Registro Civil e Tabelionato de Notas - Doutor Lund;Cartório Geraldo Tadeu Viana
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Fidalgo;Registro Civil e Notas do Distrito de Fidalgo
Ofício de Registro Civil e Tabelionato de Notas - Vera Cruz de Minas;Cartório Cunha Pinto
Ofício de Registro Civil Das Pessoas Naturais;Serviço Registral das Pessoas Naturais
Tabelionato de Protesto de Títulos;Tabelionato de Protesto de Títulos de Pedro Leopoldo
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil das Pessoas Naturais de Pedro Teixeira
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil das Pessoas 
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Registro Civil e Tabelionato de Notas
Ofício do Registro Civil e Tabelionato de Notas;Cartório do Moacir
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
Ofício do Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório de Registro de Imóveis
1º Tabelionato de Notas;1º Tabelionato de Notas de Perdizes
Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais e de Interdições e Tutelas
1º Tabelionato de Notas;Cartório DCMCarvalho
2º Tabelionato de Notas;Cartório do Horácio
