
Logradouro;Bairro
Rua Dr. Paulo Marcelo, 2860 - Térreo;Edson Queiroz
Rua Nemer Assad Mockdeci, Nº 57;Zequinha Amêndola
Rua Elias Ferreira, 657 - Cidade Jardim;Parque São Geraldo
Av Polonia 1073;São Geraldo
Rua Antonio Osorio, 181/Sl 02 - Centro;Porto Seguro
Rua Bambina 135 Parte;Botafogo
Av Das Araucarias Lote 305 Subsolo Loja 28 Maggiore Shopping;Sul (Águas Claras)
Rua Di Cavalcanti, 2292;Jardim Boa Vista
Travessa Serra,01-Tropical;Tropical
Rua Deputado Néo Alves Martins, 852;Zona 03
Rua Luis Ceciliano Vilares, 164;Vila Glória
Rua Anilda Moro Ploszaj, 93;Portão
Av. N.S. De Copacabana, 1066 Salas 904/905;Copacabana
Rua Dr Moreira Nr 135 Sala 09 Centro;Centro
Rua Lisboa, 518- Apto 12;Cerqueira César
Rua Quatorze De Julho, 363;Centro
Av. Brasil S/N Qd.23 Lt.01 Setor Vera Cruz;Setor Central
Shn Qd. 02 Bl. A Loja 230;Asa Norte
Av. República Argentina, 50 - Cj. 102;Água Verde
Rua Floriano 518;Nova Parnaíba
Rua Presidente Prudente, 252- 1º Andar;Jordanésia
Praia De Botafogo, Nº 228 - 16º Andar;Botafogo
Av. Barão De Studart, 2360 Sala 1002;Joaquim Távora
Shtn Trecho 02 Conjunto 05;Asa Norte
Praça Moreira Cabral, 48;Centro Sul
Rua Da Quitanda, 159 Sala 601;Centro
R. 15 De Novembro, 226;Campina
Av. Eramo Braga, 255 Sobreloja 201/202;Centro
Rua Odilia Maia Gondim, 604;Pindoretama
Av: Rubens De Mendonça, 1718;Bosque da Saúde
Rua Clóvis Machado Nº176 Ed. Conilon Sl.306;Enseada do Suá
Scs Qd 2 Bloco C 41 Sala 106;Asa Sul
Rua Helena, 275 - Conjunto 52;Vila Olímpia
Rua Dos Pássaros, Nº 5 - P. De Pipa -;Tibau do Sul
Rua Petronio Figueiredo N° 88;Centro
Av. Prefeito Mauricio Fruet, 1436;Cajuru
Rua Epaminondas Otoni 791 Sala 212;Centro
R Couto De Magalhaes 1301;Floresta
Rua Joaquim Da Silva Sampaio, 136;Mercês
Av D. João Vi, 2531, Sl 02;Brotas
Av.  Central , S/N° - Anexo - Loteamento Lago Bello;Campo Verde
Rua General Andrade Neves, 1040;Grajaú
Av. Angelina Maria Nº 141 - Sala 101 - Lagoa Dos Mares -;Confins
Rua Ernesto Alves Nº 284;Floresta
Rua Dr. Raul De Carvalho, 3669;Santos Dumont
Rua Xavier Pinheiro, 265;Vila Matias
Rua Neo Alves Martins 2447 5º Andar Sala 501;Zona 01
Rua Ibirapuera, 509 - Renato Gonçalves;Centro
Rua Panamá, Nº 182;Vila Petrópolis
Rua Alzira Menezes Nogueira 108;Santa Paula
Rua Da Glória, Nº 190 / 502;Glória
Av. Acre N° 297;Estados
Rua Doutor Augusto Linhares (Cj M Novo), Nº54 - Quadra E2-Lote54 - Conj. Mundo Novo;Cidade Nova
Av Eusébio De Queiroz, 2752;Eusébio
Av Prudente De Morais,901;Funcionários
Rua Silveira Peixoto, 950 Sala 72;Batel
Avenida Jaguaré ,  Nº 1485 /  2º Andar;Jaguaré
Av. Mario Ypiranga Nr 10;Adrianópolis
Rua Rio Branco, Nº 95;Vila Aurora
Rua Hélio Galvão, 8964 A ;Ponta Negra
Rua 77, Quadra 68.N. 11.;Vinhais
Rua José De Queiroz Pessoa, 2557;Quixadá
Rua Pedestre B, 17;Lagoa Redonda
Av. Dos Holandeses, Nº 02, Quadra 24, Loja 11 - Terreo;Ponta D'Areia
Pr Da Bandeira, 681;Praia da Bandeira
Travessa São Roque, 1104;Cruzeiro (Icoaraci)
Travessa Castelo Branco, Nº 1195;São Brás
Rua Costa Azevedo,Nº9;Centro
Rua Professor Barreiros Filho, 539;Canto
Av. Santos Dumont, 5753 - Complexo São Mateus - Sala 108 T-2;Papicu
Rod Mun A Oloana Km 07 - Fazenda Aba Da Serra - Zona Rural ;Hidrolândia
Rua José Teixeira, 276;Praia do Canto
Av. Barão Homem De Melo, 4500 / 701;Estoril
Rua Florianópolis, 1155 - Fundos - Jd Alegre I;Marechal Cândido Rondon
Av Santa Luzia, 100, Sala 105 Horto Florestal;Horto Florestal
Rua Dom Jaime Camara, 179, Sl 507;Centro
Rua Brasil Oiticica, 141;Campo dos Velhos
Rua Adalberto Schmalz, 148;Glória
Rua Projetada, 02 Centro;Barra do Mendes
R. Antonio Coelho De Carvalho, 1184;Central
R Octacilio Jose Dias 35;Passo das Pedras
Rua Tapir, 1200 ;Centro
Rua Padre Guerra, 1830;Parquelândia
Rua Joao Bernardo De Albuquerque, 99, Sala 102;Tambiá
Av Feitoria 2370 Sala 02;São José
Av. Guerino Giubert, N. 386;Nossa Senhora da Conceição
Pi 113, Km 2,5;Uruguai
Av. Rio Branco, 156 - Sl 1204;Centro
Av. Aguanambi, Nº 790 Sl05;José Bonifácio
Rua Benedito Valadares, 36, Loja 02;Centro
Av. Presidente Vargas, 534 Sala 401 Ra 02;Centro
Praças Dom Vital, N° 54 Centro;Centro
Rua Benedito Maia-73-Procon;Vila Ivonete
Rua Da Assembléia, Nº 35 /  8º Andar - Parte;Centro
Rua 13 De Junho Nº 499 - Sala 01;Centro
Av. Dante Michelini, 3957, Andar Hotel Canto Do Sol;Jardim Camburí
Est. Mourão Filho S/Nº - Vinhosa;Itaperuna
Av. Epitacio Pessoa,1776;Torre
Rua Vicente Machado, 343 - Casa 07 E 10;Centro
Av  Ayrao Nr 1215 Piso Superior ;Praça 14 de Janeiro
Av. Professor Sandoval Arroxelas, 766 Sala 202 1º Andar;Ponta Verde
Lot. Jardim America, 10905 Lt 09 - Qd 75;Cabedelo
Av. Nilo Peçanha, 50 - Grupo 1610;Centro
R U 69 N 41 Qd 33 Lt 38 ;Vila União
Av. Nossa Senhora De Copacabana, N° 690 - Loja 1202;Copacabana
Rua Tabira, Nº 109;Boa Vista
Rua Augusto Ribeiro Filho, 20;Campo Belo
Rua Monte Branco, 261, Sala 02;Nova Suíssa
Srtvs Qd. 701 Conj. E Nº 12 Ed. Pal. Do Rádio 1 Bl.1 Sl 302;Asa Sul
Av. José Rato, 1117                ;Fátima
Rua Eng Milton Oliveira, 255, Sl 203;Barra
R Horacio Lane,195;Pinheiros
Rua Orestes Lisboa, 58;Pedro Gondim
Av.T-15 Qd. 591 Lt.11 Nº 1654;Setor Nova Suiça
Rua Conde De Lages, Nº 44 Loja 402;Centro
Scs Qd. 01 Bl. 04 Nº 30 Sala 1.111 Ed. Gilberto;Asa Sul
Alameda Santos, Nº 1800 - 8º Andar Cj 999;Cerqueira César
Conjunto Sanclair Passarinho,Quadra H, Nº20 ;Coqueiro
Scln 102 Bloco D Entrada 54 Loja 113;Asa Norte
Alameda E S/N Qd. 02 Lt.24 E;Chácara São Pedro
Rua Conselheiro Laurindo, 80 - Sala 04;Centro
Rua Espírito Santo, 466, Sl 1105;Centro
Rua 1114 N65 Qd 211 Lt 07 2 Andar;Setor Pedro Ludovico
Qe 40 Rua 15 Lote 16 Loja 01;Guará II
"Srtvs Q.701 Bl. ""O"" Ed. Multiempresarial Salas 666/668";Asa Sul
Qd 311 Lote 10;Setor Leste
Av. Graça Aranha N 226 Sala 1210;Centro
Rua Antônio Oliveira Lima, 347;Itanhangá Park
Rua Das Palmeiras N 60;Itapemirim
Rua Padre Antônio Ribeiro Pinto  - 195  Salas 608, 609 E 610;Praia do Suá
Condominio Alto Da Boa Vista  Qd 102 Conjunto 05 Casa 26;Alto da Boa Vista
Rua General Ary Duarte Nunes, 889 ;Uberaba
"Av Getulio Vargas, .668  Andar S; Sl: 04";Funcionários
Rua 12, Nº 06 - Modulo 1 - Distrito Industrial;Tibiri
Ca 01 Deck Norte Sala 455;Setor de Habitações Individuais Norte
Shs Quadra 01 Bloco A;Asa Sul
Rua Dom Luiz Guanella, 2313;Capão da Canoa
Shc/Sw Qmsw 04 Lote 10 Sala 124 Térreo;Setor Sudoeste
Rua Sabino Pires, 22;Aldeota
Praça 13 De Maio, 200;Poço
Rua Neo Alves Martins, 2734;Zona 01
Rua Epitácio Pessoa, 1060;Quixadá
Av.Praia De Ponta Negra, 8836 - Sala 05;Ponta Negra
Rua João Antonio Xavier, 39;Água Verde
Rua Lapa, 145 - 2º Andar - Sl. 25;Centro
Rua Panambi, 160;Jardim La Salle
Av Princesa Isabel, 300;Centro
Rua Coronel Vicente Peixoto, 95;Centro
Rua Constante Sodré, 157;Santa Lúcia
Avenida Manoel Ribas, 540;Mercês
Rua Doutor Olinto Manso Pereira N° 594 Qd. F-15 Lt 78 ;Setor Sul
Avenida Cabo Branco 2698 Sala A;Cabo Branco
Qnb 18 Lote 01 Sala 212  Ed. Monte Carlo - Av. Comercial Norte;Taguatinga Norte
Rua Caruaru, 663;Grajaú
Av. Do Contorno, 7576 Lojas 06,07 E 08;Lourdes
Rua Professor Pedro Bernardo, 87;Centro
Rua José Azevedo Guerra, N° 65;Cajá
Rua Das Alfazemas, 761/Sl 208-209, Ed. Iguatemi Business E Flat;Caminho das Árvores
Av. Nossa Senhora, 817/ 6º  Andar;Copacabana
Av. Nossa Senhora De Copacabana, Nº 817 - Sala 601 - Parte;Copacabana
R. João Bosco Cabral Travassos Nº 02 Lot. Nova Paulista;Nobre
Av. Profº Magalhães Neto, 1450 Sl 406;Pituba
Avenida Das Américas, Nº 500 Blc 13, Sala 314;BARRA DA TIJUCA
Rua Das Gabirobas, 59;Anchieta
Av. Tanc. Neves, 2421/S1107 Cent. Emp. Redenção;Caminho das Árvores
Rua Verbo Divino,  1547  7° Andar  Conj 701 E 702;Chácara Santo Antônio (Zona Sul)
Rua Colômbia  Nº39 /Quadra.16 / Casa.12;Bosque
Rua Miguel De Frias, 206/506;Icaraí
Rua Lopes Chaves, 383;Barra Funda
R. Tatiana Castro, 4409 Sl -102;Grageru
Rua Afonso Ciqueira Jarauta, Nº 718;Miguel Pereira
R. Anaurelina Pereira Moraes, 853 Casa 01;Parque Residencial dos Girassóis
R 17 De Junho 436 Sala A;Menino Deus
Av. Senador Virgilio Távora, 2257;Dionisio Torres
Rua Da Assembléia, 93 - Sala 1802;Centro
Rua Ruy Arzua Pereira, 109;Abranches
Rua Durval Melquiades De Souza,645;Centro
Rua Geni Da Mata, 65, Centro;Congonhas
Av. Desembragador Hugo Simas, 1440;Bom Retiro
Rua Barata Ribeiro N° 543 Sala 703;Copacabana
Rua Ministro Aliomar Baleeiro, 1033 Cob. 304;Recreio dos Bandeirantes
Av São Camilo, 1006 - Sala 7;Chácara São João
Rua Baronesa N 200;Praça Seca
Rua Professor Moraes,714 Sala 1105;Sion
Rua Zoe Cerveira, Nº 789 - Ivar Saldanha;Alemanha
Rua Jose Peroba , 149 Centro Emp. Eldorado;Stiep
Frederico Wolfram Sênior,  Casa;Velha
Avenida Francisco Porto, 830 B Salas 03/04;Treze de Julho
Trav Ilma Rosa De Nes, 51D Ed Victor Breda S 301;Centro
Rua Marechal Deodoro, 2456;Alto da Boa Vista
Rua Prof. Antonio Martins Franco, 580;Novo Mundo
Avenida Hermes Fontes Nº 1109;Salgado Filho
Campos, 66;São José
Rua Antonio De Albuquerque, 301 Loja 02 -  Savassi;Funcionários
Rua Almirante Gonçalves, 2620;Rebouças
Av Est. Unidos, 45/Sl  313 Ed Visconde De Cayru ;Comércio
R. Agnelo Brito, 259/Sl 105, Ed. Ondina Empresarial;Federação
Rua Osório Ribas De Paula, 94 1º Andar Sl.101 ;Centro
Avenida:Caiapó N:1.100 Qd:96 Lt:02E Setor:Genoveva;Santa Genoveva
Rua Heitor Peixoto, 546;Cambuci
Rua Anui, 562;Itanhangá Park
Rua Estela, 515 - Bloco E - Conj 31;Vila Mariana
Rua Dos Tabajaras, 649;Centro
Rua Dos Maçons, 42/Galpão 09 - Cond. Empl. Torres - Pitangueiras ;Lauro de Freitas
Rua Clóvis Fontenele, 128;Serrinha
Av Padre Anchieta, Parte 1;Vila Aurora
Rua 27 - N. 1106 Conj. Castelo Branco I;Parque 10 de Novembro
Rua Andesita, 120;União
Avenida Getúlio Vargas, 874, Sala 305;Funcionários
Av. Senador Dinarte Medeiros Mariz, 4077 - Via Costeira - Parque Das Dunas;Ponta Negra
Av. Pedro Miranda - Passagem Coelinho, 35 A;Pedreira
Rua Sara Schuster 37 ;Jardins
Rua Pedro Deps,100 Sala 05;Muniz Freire
R. Pinto Martins, Nº 26;Comércio
Avenida Sao Carlos, 2134;Centro
Av. Infante Dom Henrique , S/N° - Loja 02 ;Glória
Av. Senador Dinarte Mariz, 1717 - Sala 03;Ponta Negra
Rua Dos Cariris, 43 - Altos;Praia de Iracema
Av. João Gualberto, 1673 7º Andar  Cj. 76 ;Alto da Glória
Rua Dr. Bacelar, 368 - Cj. 22;Vila Clementino
Shin Ca 5 Lote B1 Bloco B1 Sala 206 Parte A;Setor de Habitações Individuais Norte
"Smhn Qd. 02 Bloco "C";Asa Norte
Rua T- 31 N° 66;Setor Sol Nascente
Rua Felipe Schmidt  636;Centro
Av. Iguaçu S/N Sala 02 ;São Miguel do Iguaçu
Rua Santos Dumont, 337;Aimorés
Av. Dom Luis, 500 - Sala 913;Aldeota
Av. Prof.Mário Werneck,1270-Lj.10;Santa Efigênia
Av Engº Roberto Freire, 2622 ;Capim Macio
Rua Francisco Gurgel, 33 ;Ponta Negra
Rua Das Gaivotas,1114, Sl 10;Ingleses do Rio Vermelho
Rua Major Facundo, 2553;Fátima
Av Rio Cajupiranga, 212;Emaús
Rua Tenente Silveira Nº 482 Sala 102 ;Centro
Rua Tenente Silveira 482;Centro
Alameda Augusto Stellfeld, 456;Centro
Shis Cl Qi 29 Bloco C Sala 105;Setor de Habitações Individuais Sul
Av Viena, 191;São Geraldo
Rua Desembargador Sampaio, 40;Praia do Canto
Av. Edgar Santos, 500/Sl 204;Narandiba
Av. Rio Branco, 181;Centro
Rua Durval Melquiades De Souza,Nº 645;Centro
Seups Eq 705/907 Bloco C Numero 25 Sala 304;Asa Sul
Av. Antônio Sales, 2187 Sala 903/905;Joaquim Távora
Avenida Flamarion Wanderley, 367, Loja 07;São José
Rua Seringueira, 108;Coophatrabalho
Rua Raposo Tavares, 190;Jardelino Ramos
Srtvs Qd 701 Conj. E Bloco 3 N. 130 Salas 108,110 E 112;Asa Sul
Avenida Tocantins Qd 18 Lt 01 Sl09;Centro (Taquaralto)
Rua Sao Jose, 90;Centro
Av Evandro Behr 7056 Loja 18;Pé de Plátano
Av. Antonio Paulino, 167-B;Montanha
Estrada União E Indústria, 11833 / Bloco 2 / Cobertura;Itaipava
Av. Amaral Peixoto, 315 Sala 111 - Centro;Areal
Praia Do Flamengo, 66 Sala 1302 Parte;Flamengo
Avenida T-9, N°2310, Qd.523,Lt10/15, Sala 701B, Edificio Inove Inteligent Plaza;Jardim América
Avenida Guajajaras, 573 - São Cristovão;Tirirical
Av. Luis Tarquinio Pontes, 600, Sl 51;Lauro de Freitas
Nucr Nrag Gleba 03 Reserva G S/N Lote 47;Setor Norte
"Shs Qd. 01 Bloco ""A"" Galeria Do Hotel Nacional Lojas 60/61";Asa Sul
Rua Theodoro Passold, 472;Fortaleza
Av. Luis Silveira 1073;Palmares do Sul
Rua 12,Quadra  30, Nº 71 - Cohatrac V;São José de Ribamar
Rua Bruno Cavalcanti Feder, 100 Apto 53 B;Quinta da Paineira
Rua 06, Quadra 16 Lot.Alphaville Jaguarema.;São José de Ribamar
See Quadra 04 Lote 16 Sala 01;Setor Econômico de Sobradinho
Av Universitária, 358 Sala 02;Ininga
Scia Quadra 14 Conjunto 08 Lote Parte;Zona Industrial
R Breno Pinheiro 202;São Cristóvão
R Alcebiades Antonio Dos Santos  355;Nonoai
Rua Major Gabriel, N1309;Centro
Rod Serafim Derenzi 10382 Sala 304;Joana Darc
Estrada União Industria, 10215 Loja / A;Itaipava
R. Sen. Theotonio Vilela, 190/901 ;Brotas
Rua Dr. Pedro Augusto Menna Barreto Monclaro, 22  Sl. 01;Água Verde
Av. São Luiz Rei De França, Nº 17 - Turu;Cruzeiro do Anil
R Ernesto De Paula Santos 1172 - Loja 04;Boa Viagem
Alameda A Qd Chc Lt 156 Setor Chácara São Pedro ;Chácara São Pedro
Avenida Luiz Tarquínio Pontes,1754 Loja 108;Lauro de Freitas
Rua: Marechal Deodoro 101 - 7º Andar  Sala 704;Bento Gonçalves
Rua Bela Cintra, 1200  7° Andar;CONSOLAÇÃO
Travessa Pinto Da Rocha N°50;Laranjeiras
Rua Odilom Braga 1332;Anchieta
Rua Visconde De Itaborahy, 863, Sl 01, Ed. Ideal Center;Amaralina
Rua Dr Ernesto Brasilio,14 Sala 403;Centro
Av T -4 N 1478 Q 169-A Lt 1/2/17/18    ;Setor Bueno
Rua Herculano Nunes Teixeira, 105, Centro - Rio Do Sul - Sc ;Rio do Sul
Av. Desembargador Hugo Simas, 1299 Cj 05;Bom Retiro
Rua Isac Meyer , 125;Aldeota
Rua Da Gloria,344 Sala 702;Glória
Largo Do Machado, 29 Cobertura - C;Catete
Rua Conde De Bonfim, 422 Apt. 612;Tijuca
Rua 53  N°  58 Sl-01;Jardim Goiás
Rua Aleixo Netto, 454;Praia do Canto
Praça Charles Miller, 96;Pacaembu
Ship Setor Hípico, Área Especial, Conjunto 08, Parte A ;Setores Complementares
Rua Dom Francisco, 409;Vila Real
Avenida Do Contorno, 6321, Sala 501;Funcionários
Rua Pardal, 230;Ayrosa
R Garibaldi 308 Sala 201;Gramado
Rua Carolina Leal, 553;Centro
Rod. Deputado João Leopoldo Jacomel, 10454;JARDIM AMÉLIA
Rua Rio Grande Do Norte, 726 - Sla 1302;Funcionários
Rua Saturnino De Paula Da Silveira, 128 E;Tangará da Serra
Av. Nove De Julho, 3228 - 14ºandar - Cj 1407;Jardim Paulista
Rua Engenheiro Francisco Da Costa,290;Atalaia
Rua Ponto Chique, Nº 339 ;Cordovil
Av. Abunã Nº02444;São João Bosco
R Pres Nereu Ramos 19 Sl 410;Centro
Monsenhor Hipolito Constabile 43;Gramado
Rua Tiracambu, Quadra 07, N. 3;Calhau
Rua Comendador Palmeira, 250 Loja 04 Bloco 'A';Farol
Rua Das Missoes, 1426;Ponta Aguda
Rua México, 111 Salas 1906, 1907,1908;Centro
Rua Nelson Figueiredo Junior, 149;Vila Antônio Vendas
Av. Das Américas, 1155 Sala 1912;BARRA DA TIJUCA
Rua Félix Kleis, 69;Santa Mônica
Av. Cristóvão Colombo, 881 - Sala 701;Floresta
Av 15 Novembro 1507;Nova Petrópolis
Rua Barao Homem De Melo, 4500  Sala 1402B;Estoril
Av. Prudente De Morais Nº 621 - Sala 712 - Santo Antônio;Cidade Jardim
Rua Veiga Cabral, Nº 1023, Sala 01.;Cidade Velha
Av. Ayrton Senna, 34 - Combolo;Porto Seguro
R. Hortencia Soares Da Silva, 02 Qd 34;Parque Nova Esperança
Av. Cerro Azul, 572 - Lj. 08 ;Zona 02
Rua Major Crisanto De Almeida, 2170 Sala 01;Pacatuba
Estrada União E Indústria, 10126 Sobre Loja 26;Itaipava
R.Diario De Noticias  200 Conj 914 - Cristal Tower;Cristal
R Gerino Souza Filho - Cond. Vila Das Mangueiras - Itinga  ;Lauro de Freitas
Avenida Das Hortensias, 543, Sala 04;Gramado
Rua Americo Rocha  116 Casa 01;Marechal Hermes
Rua Altino Arantes, 1258   Sala 02;Jardim Sumaré
Rua Desembargador Vieira Cavalcanti, 1090;Mercês
Rua Xv De Novembro, 310;Centro
Rua Jacob Holzmann, 167;Olarias
Rua Jamil Tannus 523;Vila Póvoa
Rua Dr. Tomas Carvalhal, 714 Cj 01;Paraíso
Rua Belo Horizonte, 900 Loja 19;Centro
Rua Arlindo Bras Do Nascimento, 105;Santa Luíza
Estrada Do Tindiba, 2.033 Loja 207;Pechincha
Rua Sp 10 Sn Qd 02 Lt 09;Setor Perim
Rua Voluntários Da Pátria 127/825;Botafogo
Rua Barão Do Rio Branco, 180;Jardim Industrial
Av. Pedro Paes De Azevedo Nº 753;Grageru
Av. Leopoldina Pinho Carvalho, 942;Vila Aurora
Rua Rio Negro, 719;Barroca
Rua Pernambuco, 155, Sala 202, Centro;Três Marias
Rua Conde  Laje Nº 44 Sala 401;Centro
Av. Presidente Vargas, 482 Salas 826  Parte;Centro
Av. C-255 Nº 270 Salas 721/722;Setor Nova Suiça
Rua Helen Keller ,130;Vila Mariana
R 12 N 792 Qd 554 Lt 02;Setor São José
Avenida Abido Saad, 636, Sl 103;Colina de Laranjeiras
Travessa José Da Rocha Sales, 54;Açude
St Shc / Aos E A 1/4 Bloco B Loja 75 Terreo;Área Octogonal
Avenida Dona Maria Cardoso S/N Qd 30A Lt 08;Jardim Luz
Av. Manoel Machado, 02 - Praia Das Fontes;Beberibe
Av. Iguaçu, 873;Vila Yolanda
Rua Ricardo Franco, 660 - Fundos;Vila Sobrinho
Av Coronel Manoel Nunes, 1200;Jardim Tropical
Av Picadilly, 100-Sala: 216;Nova Lima
Av Joaquim Miguel Couto, 630;Vila Paulista
Srtvs Qd.701 Bl. 01 Nº 38 Ed. Assis   Chat. S/ 601/603;Asa Sul
Rua Dos Arcos - 113;Poço da Panela
Rua Adelino Roque Nº 483 Centro;Bela Vista de Goiás
Av. Das Americas, 2300 Bloco B Sala 128;BARRA DA TIJUCA
St Scia Qd. 08  Conj. 09 Lote 02/03;Zona Industrial
St Shc/Norte Comercio Local Qd 215 Bl B N°59 204;Asa Norte
Rua Felipe Franco Sá / Rua R -Q 12 - N.01;Radional
R Conselheiro Saraiva,  655;Santana
Praça Doutor Sampaio Vidal, 265 - Cj 34;Vila Formosa
Rua Dos Timbós, Nº 30, Quadra 46;Jardim Renascença
Av. Floriano Peixoto, 3230 S/05;Aparecida
Rua 03, Nº 390, Sala 206, Ed. Mônica;São Francisco
Av. Tancredo Neves N 805. Edf. Empresarial Sala 1004;Caminho das Árvores
Rodovia Br 116, 15.288;Fanny
Rua Dublin Nº107;Araçás
Rua Xavantes, 125 Loja  Parte;Rio Bonito
Rua Cardoso Marinho, 28;Santo Cristo
Rua 17 S/N Qd. 17 Lt 03/11 E 35/43;Pólo Empresarial Goiás
Rua Do Ouro, 136 - Sl 406;Serra
Srtvs Quadra 701 Conjunto L Nº 38 Edificio Assis Chateubriand, Bl 01, Sala 709, Pa 160;Asa Sul
Pc Santa Luzia, 75 Centro;Barra dos Coqueiros
Av. Gonçalo Antunes De Barros, 1817;Bela Vista
Av. Ininga,1201 Loja V177;Jóquei
Rua Pedro Celestino Nº 2.363;Centro
Rua Ceará, 1681;Funcionários
Rua Antônio Ferreira Da Cunha Qd 1 Lt 1 Setor Campos;Santo Antônio de Goiás
Rua Engenheiro Francelino Mota, 217 Apartamento 202;Brás de Pina
Rua Ibituruna, 917;Parque Imperial
R   Liberdade,  1306;Marechal Rondon
Rua Nascimento Fernandes, 2145;Lagoa Nova
Avenida Brigadeiro Faria Lima, 1993 - 7º Andar;Jardim Paulistano
St Shc/Sul Comercio Residencial Qd. 504 Nº 20  Bl C Sala 204;Asa Sul
Av Dr. Mario Villas Boas Rodrigues, N°: 387 - Parte;Jardim Dom Bosco
Avenida Dr. Mário Villas Boas Rodrigues, 387 ;Brooklin Paulista
Rua Epaminondas Grancindo, 203                         ;Pajuçara
Rod. Br-316 - Km 5  Rua Jardim Providencia, 10              ;Aurá
Av. Brigadeiro Faria Lima, 2927 - 4° Andar Conj 42;Jardim Paulistano
Av Tanc Neves, 274/Sl 530, Bl.B, C. Emp. Iguatemi;Caminho das Árvores
Saan Quadra 01 Lote 680 Bloco A Sala 105;Zona Industrial
Av. Carlos Gomes, 1859 - Sala 408;Auxiliadora
Rua Argenor De Souza Lé;Divino Espírito Santo
Rua N-01 S/N Qd.10 Lote 14;Abadia de Goiás
Shs Quadra 1 Bloco A Loja 57 Galeria Do Hotel Nacional;Asa Sul
Av. Paulista, 2006 - 18° Andar - Cj 1810 A 1816 ;Bela Vista
Rua Conde De Iraja, 260 - 2º Andar;Botafogo
Shs Qd 01 Bl A Loja 22 Cond. Nacional Horsa;Asa Sul
Rua Do Oratório, 1606 - 13º Andar  - Cj 1307;Moóca
Rua Tuiuti, 2530 - 6º Andar - Conj. 63            ;Tatuapé
Rua Ezequias Pegado, 1026 A - Sala 05 -;Tirol
Av. Djalma  Batista, 1719, Terreo 01 B Cond. Atlantic Tower;Chapada
Rua Gomes De Carvalho, Nº 1765 / 3º Andar / Cj-31 / Sala A;Vila Olímpia
Al. Campinas, 802 - Conj 61;Jardim Paulista
Rua Visconde De Piraja, 414  Sala 815;Ipanema
Avenida Getúlio Vargas, 67;Funcionários
Av. Mister Hull, 3200;Presidente Kennedy
Rua Do Bispo 94/608 Bl. 01;Rio Comprido
Rua 55 Nº 566 Qd. 07 Lt.17;Setor Sol Nascente
Rua Pirapetinga, 567;Serra
Av Das Americas, 500 Bloco 23 Sala 211;BARRA DA TIJUCA
Rua Marcelo Gama 1353;São João
Rua Princesa Isabel, 129;Santo Amaro
Travessa Carreirão, 78 2ºandar/Ático;Centro
Rua Padre Venâncio, 05 1º Andar;Coelhos
Av Joao Felipe Calmon, N. 85, Ed. Náutico Sala 101;Centro
Rua Theodorico Guilherme, 2191;Nova Descoberta
1012 Sul Alameda 09 Lote 11 - 1º Andar Plano Diretor Sul;Plano Diretor Sul
1012 Sul Alameda 09 Lote 11 - Terreo Plano Diretor Sul ;Plano Diretor Sul
Rua Santa Tereza, 47;Vila Rosa Pires
Rua 01 Conjunto Monaco Casa 17,Qu;Jardim Marco Zero
Rua Dr Gilberto Studart, 369 - Sala 01;Edson Queiroz
Rua Marechal Deodoro 209 Sala 109;Centro
Av. Sete De Setembro, 642 Sala 13;Fazenda
Rua Nossa Senhora De Copacabana 978 Salas 907 E 908;Copacabana
Rua Coronel Aluísio Borba, 808;Engenheiro Luciano Cavalcante
Avenida Comercial Qd 01 Lt 04;Abadia de Goiás
Rua Brigadeiro Gomes Ribeiro, 1468;Nova Descoberta
Av Das Americas 8505 Sala 214;BARRA DA TIJUCA
Avenida Das Americas, 8445 Sala 803;BARRA DA TIJUCA
Av. Washington Soares, 855 Sala 311;Edson Queiroz
Rua Sequóia, 96;Jardim Pinheiros
R. Maracajú, 13- Sala 02;Centro
Shcn Cl Quadra 302 Bl C N° 45 Sl 103,105 E 107;Asa Norte
Rua Dantas Bião, Shopping Laguna;Alagoinhas Velha
Rua Antonio Alves Vale,  95;Vila Ernesto
Rua Barão De Macaubas, 460, Sala 1308;Santo Antônio
R 12 N 804 Qd 554 Lt 03;Setor São José
Av Belarmino Cotta Pacheco, 2104, Sala 02;Santa Mônica
Rua Gumercindo Couto E Silva, 813 - Casa;Itapoã
Rua 10 Nº 250 Edif Trade Center  Sala 701;Setor Oeste
Av. Joao Pessoa, Nº 435 - Santa Cruz;Outeiro da Cruz
Rua Uberlândia Nº 195;Vila Rosa Pires
Rua Chopin, 42 Bloco 04;Barro Vermelho
Rua Honorato Bonfim, 219  Centro;Pilão
Rua Visconde De Sepetiba, 935 Sala 603;Centro
Shin Ca 01  Lote A Bloco A Salas 429/430 ;Setor de Habitações Individuais Norte
Shin Ca 01 Lote A Bl. A S/ 358 E 359 Shop. Desk No;Setor de Habitações Individuais Norte
Stshis Qi 29 Conj. 10 Lote 13;Setor de Habitações Individuais Sul
Av Isaac Povoas (Pca Jose Rachid Jaudy 164;Centro Norte
Av. Rio Branco, 43, 14º Andar;Centro
Rua Nilmo Costa Gomes Junior, 231, ;Residencial Sagrada Família
Rua Monsenhor Tabosa, 162;Imbiribeira
Rua Na-5 S/N Qd 18 Lote 15 Jardin Nova Abadia;Abadia de Goiás
Rua General Eurico, 62;Varjota
Rua Joaquim Floriano 466  23A  Conj 2309;Itaim Bibi
